RegionID,SizeRank,RegionName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
30,9,Michigan,"251,741.65","264,667.68","274,034.34","283,119.62","292,704.07","298,605.51","293,104.28","271,497.14","237,910.32","208,291.73","202,189.33","197,003.54","207,147.14","227,617.52","240,142.05","252,941.71","264,392.44","280,216.14","293,972.65","304,302.56","327,850.54","370,770.31","392,502.75","400,112.84"
40,10,New Jersey,"345,248.95","383,626.06","433,513.21","489,569.20","557,969.55","632,858.25","657,617.49","634,651.00","582,226.27","548,216.60","531,297.72","498,473.73","502,388.03","523,765.40","544,691.85","558,567.76","564,399.16","581,807.51","594,515.37","598,828.27","637,462.58","719,564.49","770,195.08","807,182.17"
56,11,Virginia,"251,737.42","279,364.39","310,543.29","347,387.18","420,678.56","503,073.02","508,064.87","482,472.64","432,976.12","414,104.09","412,216.24","404,100.69","427,539.78","452,126.95","460,406.28","467,461.19","473,909.89","488,382.50","502,263.74","518,867.36","561,249.23","618,036.34","649,466.37","669,373.06"
59,12,Washington,"319,918.04","334,950.54","346,731.97","367,599.58","407,102.15","479,363.44","542,257.30","555,886.85","502,184.92","454,855.20","427,424.08","392,354.73","394,335.00","432,540.51","458,797.26","507,480.29","557,909.32","627,165.99","673,207.64","682,405.47","762,781.27","905,992.51","955,094.39","947,870.64"
8,13,Arizona,"251,087.78","264,614.05","278,235.87","296,460.38","339,705.03","476,791.25","494,855.77","458,976.30","357,946.83","303,623.55","277,943.77","259,051.07","293,730.00","332,411.34","342,688.16","361,628.22","374,114.97","392,736.14","419,594.49","439,464.36","494,464.11","626,760.29","669,802.50","666,132.42"
26,14,Massachusetts,"391,585.37","447,666.43","500,622.79","550,136.62","601,409.60","633,399.48","608,774.62","584,252.69","547,365.55","528,302.93","528,139.70","507,708.70","516,490.97","553,845.75","577,859.82","611,299.39","636,553.72","673,202.72","704,530.71","710,461.90","765,798.27","860,457.89","917,867.31","964,379.17"
53,15,Tennessee,"217,972.79","223,897.37","228,500.55","234,781.14","244,493.69","260,450.17","277,384.30","282,861.87","272,593.58","261,291.55","256,599.50","248,604.26","253,210.49","262,945.99","272,240.47","289,469.55","307,561.78","326,393.65","342,440.60","359,812.67","391,234.82","472,607.55","524,403.90","527,970.31"
22,16,Indiana,"189,342.56","193,581.33","195,542.42","199,166.84","205,214.39","214,720.25","219,058.15","219,627.39","216,176.32","211,403.34","208,664.23","205,210.96","210,076.84","218,034.83","223,330.40","231,506.83","240,652.31","251,769.83","264,910.57","277,488.87","302,168.99","345,547.64","371,500.49","381,215.76"
27,17,Maryland,"275,241.09","300,190.45","340,001.28","389,720.23","461,916.97","550,884.36","587,772.77","566,300.02","498,504.59","455,176.98","440,638.92","423,764.78","431,870.08","453,132.79","463,943.96","470,855.07","475,508.25","486,470.69","497,989.04","507,620.71","543,790.12","604,067.01","631,029.70","646,679.06"
32,18,Missouri,"202,108.43","214,155.00","226,383.92","239,906.72","250,972.51","262,937.99","270,173.70","268,183.67","258,491.49","249,384.10","241,030.58","228,488.52","230,797.62","240,416.41","245,754.81","257,792.71","268,220.46","279,110.46","289,612.54","298,357.08","325,371.83","366,074.81","394,465.50","402,547.45"
